Size	W	DistM	AckM	stopM	ComputeT	TotalT
14	4	892	892	588	2.122e-311	1.54314
14	4	836	836	569	2.122e-311	0.490511
14	4	880	880	582	2.122e-311	1.39459
14	4	836	836	565	2.122e-311	1.36135
15	4	1100	1100	659	2.122e-311	1.40801
15	4	1116	1116	656	2.122e-311	1.37242
15	4	980	980	673	2.122e-311	0.451037
15	4	1064	1064	656	2.122e-311	1.30403
15	4	1036	1036	652	2.122e-311	1.42017
15	4	1248	1248	632	2.122e-311	1.41803
15	4	1092	1092	676	2.122e-311	1.38527
15	4	1100	1100	656	2.122e-311	1.50481
15	4	1036	1036	679	2.122e-311	1.43474
15	4	1196	1196	671	2.122e-311	1.48181
16	4	1780	1780	767	2.122e-311	1.39529
16	4	1428	1428	758	2.122e-311	1.2298
16	4	1828	1828	737	2.122e-311	1.32661
16	4	2332	2332	765	2.122e-311	1.28142
16	4	1636	1636	734	2.122e-311	1.14083
16	4	1480	1480	751	2.122e-311	1.30081
16	4	1736	1736	738	2.122e-311	1.23054
16	4	1408	1408	715	2.122e-311	1.20996
16	4	1320	1320	756	2.122e-311	1.22958
16	4	1436	1436	747	2.122e-311	1.2897
17	4	1332	1332	807	2.122e-311	1.39889
17	4	1612	1612	838	2.122e-311	1.51403
17	4	1408	1408	807	2.122e-311	1.43281
17	4	1468	1468	812	2.122e-311	1.41647
17	4	1596	1596	842	2.122e-311	1.58065
17	4	1516	1516	845	2.122e-311	1.47579
17	4	1648	1648	830	2.122e-311	1.52911
17	4	1704	1704	783	2.122e-311	1.46498
17	4	1448	1448	817	2.122e-311	1.42421
17	4	1316	1316	843	2.122e-311	1.36096
18	4	1456	1456	961	2.122e-311	1.62488
18	4	1656	1656	967	2.122e-311	1.54893
18	4	1732	1732	941	2.122e-311	1.54928
18	4	1532	1532	926	2.122e-311	1.61708
18	4	1460	1460	924	2.122e-311	1.60175
18	4	1344	1344	947	2.122e-311	1.51434
18	4	1468	1468	936	2.122e-311	1.52285
18	4	1496	1496	947	2.122e-311	1.44286
18	4	1524	1524	933	2.122e-311	1.48625
18	4	1432	1432	973	2.122e-311	1.85046
19	4	1692	1692	1066	2.122e-311	1.65134
19	4	1912	1912	1055	2.122e-311	1.62857
19	4	1696	1696	1061	2.122e-311	1.59615
19	4	1688	1688	1084	2.122e-311	1.60335
19	4	1796	1796	981	2.122e-311	1.6872
19	4	1800	1800	1041	2.122e-311	1.62315
19	4	1660	1660	1037	2.122e-311	1.69659
19	4	1872	1872	1039	2.122e-311	1.59454
19	4	1624	1624	1040	2.122e-311	1.58829
19	4	1652	1652	1042	2.122e-311	1.60852
20	4	2964	2964	1204	2.122e-311	1.68049
20	4	2128	2128	1193	2.122e-311	1.49958
20	4	2228	2228	1154	2.122e-311	1.49536
20	4	3008	3008	1183	2.122e-311	1.51565
20	4	3292	3292	1201	2.122e-311	1.51255
20	4	3024	3024	1156	2.122e-311	1.62161
20	4	2484	2484	1180	2.122e-311	1.43298
20	4	2288	2288	1173	2.122e-311	1.44331
20	4	3092	3092	1204	2.122e-311	1.47092
20	4	2572	2572	1201	2.122e-311	1.68965
2	1	16	16	5	2.122e-311	0.037091
2	1	16	16	10	2.122e-311	0.0378389
2	1	16	16	10	2.122e-311	0.0397701
2	1	16	16	8	2.122e-311	0.039969
2	1	16	16	8	2.122e-311	0.041811
3	1	48	48	31	2.122e-311	0.0535071
3	1	40	40	31	2.122e-311	0.049479
3	1	44	44	31	2.122e-311	0.0492709
2	1	16	16	10	2.122e-311	0.0398328
2	1	16	16	10	2.122e-311	0.038898
2	1	16	16	9	2.122e-311	0.0389121
2	1	16	16	10	2.122e-311	0.0389931
2	1	16	16	12	2.122e-311	0.0388262
3	1	44	44	31	2.122e-311	0.0495389
3	1	48	48	25	2.122e-311	0.0523329
3	1	52	52	31	2.122e-311	0.0595391
3	1	40	40	28	2.122e-311	0.0491672
3	1	64	64	29	2.122e-311	0.061975
4	1	68	68	49	2.122e-311	0.050931
4	1	68	68	49	2.122e-311	0.0528729
4	1	88	88	49	2.122e-311	0.0646541
4	1	68	68	51	2.122e-311	0.0517089
4	1	72	72	49	2.122e-311	0.0610931
5	1	116	116	69	2.122e-311	0.0600719
5	1	156	156	76	2.122e-311	0.072855
5	1	176	176	76	2.122e-311	0.086091
5	1	120	120	72	2.122e-311	0.0771801
5	1	152	152	76	2.122e-311	0.0860579
6	1	208	208	110	2.122e-311	0.0898561
6	1	196	196	109	2.122e-311	0.0940521
6	1	168	168	109	2.122e-311	0.0794518
6	1	224	224	109	2.122e-311	0.0850098
6	1	224	224	109	2.122e-311	0.0922241
7	1	264	264	151	2.122e-311	0.0931361
7	1	296	296	148	2.122e-311	0.121532
7	1	324	324	147	2.122e-311	0.0947258
7	1	268	268	148	2.122e-311	0.106082
7	1	276	276	148	2.122e-311	0.0859039
8	1	408	408	196	2.122e-311	0.13203
8	1	408	408	193	2.122e-311	0.125581
8	1	420	420	193	2.122e-311	0.143021
8	1	372	372	196	2.122e-311	0.146639
8	1	380	380	193	2.122e-311	0.177594
2	2	16	16	12	2.122e-311	0.040195
2	2	16	16	5	2.122e-311	0.0389159
2	2	16	16	7	2.122e-311	0.037864
2	2	16	16	8	2.122e-311	0.0433171
2	2	16	16	8	2.122e-311	0.039602
3	2	44	44	28	2.122e-311	0.068105
3	2	36	36	28	2.122e-311	0.055037
3	2	36	36	27	2.122e-311	0.057971
3	2	44	44	30	2.122e-311	0.0755088
3	2	36	36	28	2.122e-311	0.0461249
4	2	80	80	48	2.122e-311	0.090553
4	2	64	64	44	2.122e-311	0.062567
4	2	72	72	52	2.122e-311	0.098603
4	2	72	72	46	2.122e-311	0.062942
4	2	80	80	52	2.122e-311	0.0953729
5	2	148	148	79	2.122e-311	0.212913
5	2	128	128	76	2.122e-311	0.174852
5	2	160	160	76	2.122e-311	0.183809
5	2	108	108	76	2.122e-311	0.152302
5	2	104	104	79	2.122e-311	0.154835
6	2	184	184	109	2.122e-311	0.163004
6	2	216	216	112	2.122e-311	0.174052
6	2	196	196	107	2.122e-311	0.159485
6	2	164	164	112	2.122e-311	0.187485
6	2	236	236	109	2.122e-311	0.231432
7	2	252	252	145	2.122e-311	0.317848
7	2	284	284	150	2.122e-311	0.304752
7	2	304	304	145	2.122e-311	0.361051
7	2	292	292	145	2.122e-311	0.34245
7	2	280	280	151	2.122e-311	1.16416
